name,name_kana,name_romaji,nickname,latitude,longitude
菅原通五丁,スガハラドオリ 5,SUGAHARADORI 5,,34.561947,135.4615
八幡通一丁,ヤハタドオリ 1,YAHATADORI 1,,34.564086,135.462206
八幡通二丁,ヤハタドオリ 2,YAHATADORI 2,,34.563165,135.461463
菅原通二丁,スガハラドオリ 2,SUGAHARADORI 2,,34.564617,135.463284
八幡通三丁,ヤハタドオリ 3,YAHATADORI 3,,34.562198,135.460682
春日通四丁,カスガドオリ 4,KASUGADORI 4,,34.562107,135.461079
綾之町西三丁,アヤノチョウニシ 3,AYANOCHONISHI 3,,34.589366,135.480805
春日通二丁,カスガドオリ 2,KASUGADORI 2,,34.563916,135.46253
春日通一丁,カスガドオリ 1,KASUGADORI 1,,34.564751,135.4628
春日通三丁,カスガドオリ 3,KASUGADORI 3,,34.56299,135.461778
綾之町西二丁,アヤノチョウニシ 2,AYANOCHONISHI 2,,34.588931,135.481507
昭和通六丁,ショウワドオリ 6,SHOWADORI 6,,34.561705,135.46204
菅原通四丁,スガハラドオリ 4,SUGAHARADORI 4,,34.562791,135.462171
菅原通三丁,スガハラドオリ 3,SUGAHARADORI 3,,34.563713,135.462916
北旅籠町東二丁,キタハタゴチョウヒガシ 2,KITAHATAGOCHOHIGASHI 2,,34.590166,135.485419
南安井町六丁,ミナミヤスイチョウ 6,MINAMIYASUICHO 6,,34.570194,135.480058
菅原通一丁,スガハラドオリ 1,SUGAHARADORI 1,,34.56544,135.463463
南半町西四丁,ミナミハンチョウニシ 4,MINAMIHANCHONISHI 4,,34.572378,135.462674
昭和通二丁,ショウワドオリ 2,SHOWADORI 2,,34.565355,135.464284
桜之町東二丁,サクラノチョウヒガシ 2,SAKURANOCHOHIGASHI 2,,34.589057,135.485028
賑町一丁,ニギワイチョウ 1,NIGIWAICHO 1,,34.568567,135.474693
宿院町西一丁,シュクインチョウニシ 1,SHUKUINCHONISHI 1,,34.575747,135.470857
桜之町西二丁,サクラノチョウニシ 2,SAKURANOCHONISHI 2,,34.589838,135.481851
昭和通一丁,ショウワドオリ 1,SHOWADORI 1,,34.565989,135.464477
昭和通三丁,ショウワドオリ 3,SHOWADORI 3,,34.56436,135.463999
北旅籠町西二丁,キタハタゴチョウニシ 2,KITAHATAGOCHONISHI 2,,34.590929,135.482266
南半町東二丁,ミナミハンチョウヒガシ 2,MINAMIHANCHOHIGASHI 2,,34.569278,135.467425
熊野町西三丁,クマノチョウニシ 3,KUMANOCHONISHI 3,,34.580721,135.471564
昭和通五丁,ショウワドオリ 5,SHOWADORI 5,,34.56248,135.462699
北半町東,キタハンチョウヒガシ,KITAHANCHOHIGASHI,,34.591018,135.485203
南安井町五丁,ミナミヤスイチョウ 5,MINAMIYASUICHO 5,,34.570238,135.479171
南半町西一丁,ミナミハンチョウニシ 1,MINAMIHANCHONISHI 1,,34.570455,135.465688
九間町東二丁,クケンチョウヒガシ 2,KUKENCHOHIGASHI 2,,34.584835,135.481787
宿屋町西三丁,シュクヤチョウニシ 3,SHUKUYACHONISHI 3,,34.585135,135.476539
昭和通四丁,ショウワドオリ 4,SHOWADORI 4,,34.563603,135.46345
宿院町西四丁,シュクインチョウニシ 4,SHUKUINCHONISHI 4,,34.577618,135.467903
南半町西二丁,ミナミハンチョウニシ 2,MINAMIHANCHONISHI 2,,34.571049,135.464691
永代町六丁,エイタイチョウ 6,EITAICHO 6,,34.569259,135.47916
櫛屋町東一丁,クシヤチョウヒガシ 1,KUSHIYACHOHIGASHI 1,,34.580729,135.476693
熊野町東二丁,クマノチョウヒガシ 2,KUMANOCHOHIGASHI 2,,34.57837,135.475768
車之町西三丁,クルマノチョウニシ 3,KURUMANOCHONISHI 3,,34.583374,135.474897
永代町五丁,エイタイチョウ 5,EITAICHO 5,,34.569347,135.478095
柳之町東一丁,ヤナギノチョウヒガシ 1,YANAGINOCHOHIGASHI 1,,34.586298,135.481869
錦之町東一丁,ニシキノチョウヒガシ 1,NISHIKINOCHOHIGASHI 1,,34.587166,135.482673
宿屋町東一丁,シュクヤチョウヒガシ 1,SHUKUYACHOHIGASHI 1,,34.583511,135.479261
櫛屋町東二丁,クシヤチョウヒガシ 2,KUSHIYACHOHIGASHI 2,,34.580155,135.477547
南安井町四丁,ミナミヤスイチョウ 4,MINAMIYASUICHO 4,,34.570323,135.478164
綾之町東二丁,アヤノチョウヒガシ 2,AYANOCHOHIGASHI 2,,34.587668,135.484592
南半町東一丁,ミナミハンチョウヒガシ 1,MINAMIHANCHOHIGASHI 1,,34.569892,135.466407
甲斐町東五丁,カイノチョウヒガシ 5,KAINOCHOHIGASHI 5,,34.575083,135.476998
九間町東一丁,クケンチョウヒガシ 1,KUKENCHOHIGASHI 1,,34.585374,135.480992
少林寺町東二丁,ショウリンジチョウヒガシ 2,SHORINJICHOHIGASHI 2,,34.571934,135.469949
市之町東二丁,イチノチョウヒガシ 2,ICHINOCHOHIGASHI 2,,34.577535,135.47513
神明町東一丁,シンメイチョウヒガシ 1,SHIMMEICHOHIGASHI 1,,34.58459,135.480104
戎之町西二丁,エビスノチョウニシ 2,EBISUNOCHONISHI 2,,34.580953,135.473695
材木町東一丁,ザイモクチョウヒガシ 1,ZAIMOKUCHOHIGASHI 1,,34.582739,135.478398
住吉橋町二丁,スミヨシバシチョウ 2,SUMIYOSHIBASHICHO 2,,34.579687,135.465197
南旅篭町西四丁,ミナミハタゴチョウニシ 4,MINAMIHATAGOCHONISHI 4,,34.573331,135.46344
永代町三丁,エイタイチョウ 3,EITAICHO 3,,34.569472,135.475735
楠町二丁,クスノキチョウ 2,KUSUNOKICHO 2,,34.564983,135.460342
戎之町東二丁,エビスノチョウヒガシ 2,EBISUNOCHOHIGASHI 2,,34.579281,135.476733
霞ヶ丘町二丁,2,2,,34.553652,135.468088
神明町西一丁,シンメイチョウニシ 1,SHIMMEICHONISHI 1,,34.58491,135.479336
熊野町西一丁,クマノチョウニシ 1,KUMANOCHONISHI 1,,34.579554,135.474131
宿院町東二丁,シュクインチョウヒガシ 2,SHUKUINCHOHIGASHI 2,,34.574699,135.472503
大町東二丁,オオチョウヒガシ 2,OCHOHIGASHI 2,,34.57562,135.473364
新在家町東二丁,シンザイケチョウヒガシ 2,SHINZAIKECHOHIGASHI 2,,34.57101,135.469096
寺地町東二丁,テラジチョウヒガシ 2,TERAJICHOHIGASHI 2,,34.572843,135.470791
市之町東五丁,イチノチョウヒガシ 5,ICHINOCHOHIGASHI 5,,34.575902,135.477891
市之町西一丁,イチノチョウニシ 1,ICHINOCHONISHI 1,,34.578705,135.47335
宿屋町西二丁,シュクヤチョウニシ 2,SHUKUYACHONISHI 2,,34.584784,135.477434
材木町東二丁,ザイモクチョウヒガシ 2,ZAIMOKUCHOHIGASHI 2,,34.582022,135.479277
少林寺町西一丁,ショウリンジチョウニシ 1,SHORINJICHONISHI 1,,34.573091,135.468145
南安井町二丁,ミナミヤスイチョウ 2,MINAMIYASUICHO 2,,34.570577,135.475936
中之町東二丁,ナカノチョウヒガシ 2,NAKANOCHOHIGASHI 2,,34.573779,135.471654
高須町二丁,タカスチョウ 2,TAKASUCHO 2,,34.589509,135.488565
柳之町西二丁,ヤナギノチョウニシ 2,YANAGINOCHONISHI 2,,34.587451,135.479851
熊野町東三丁,クマノチョウヒガシ 3,KUMANOCHOHIGASHI 3,,34.577868,135.47678
南陵町二丁,ナンリョウチョウ 2,NANRYOCHO 2,,34.553511,135.470383
中三国ヶ丘町二丁,2,2,,34.574414,135.487745
永代町四丁,エイタイチョウ 4,EITAICHO 4,,34.569392,135.476937
車之町東一丁,クルマノチョウヒガシ 1,KURUMANOCHOHIGASHI 1,,34.581645,135.477543
緑ヶ丘南町三丁,ミドリガオカミナミマチ 3,MIDORIGAOKAMINAMIMACHI 3,,34.553851,135.472087
中瓦町二丁,ナカカワラマチ 2,NAKAKAWARAMACHI 2,,34.574825,135.483178
市之町西二丁,イチノチョウニシ 2,ICHINOCHONISHI 2,,34.579245,135.472451
