code,prefecture_code,name,name_kana,name_romaji
02113,04,仙台市青葉区,センダイシアオバク,SENDAI SHI AOBA KU
02114,04,仙台市宮城野区,センダイシミヤギノク,SENDAI SHI MIYAGINO KU
02115,04,仙台市若林区,センダイシワカバヤシク,SENDAI SHI WAKABAYASHI KU
02116,04,仙台市太白区,センダイシタイハクク,SENDAI SHI TAIHAKU KU
02117,04,仙台市泉区,センダイシイズミク,SENDAI SHI IZUMI KU
02178,04,石巻市,イシノマキシ,ISHINOMAKI SHI
02179,04,塩竈市,シオガマシ,SHIOGAMA SHI
02181,04,気仙沼市,ケセンヌマシ,KESENNUMA SHI
02182,04,白石市,シロイシシ,SHIROISHI SHI
02183,04,名取市,ナトリシ,NATORI SHI
04208,04,角田市,カクダシ,KAKUDA SHI
04209,04,多賀城市,タガジョウシ,TAGAJO SHI
02185,04,岩沼市,イワヌマシ,IWANUMA SHI
02186,04,登米市,トメシ,TOME SHI
02187,04,栗原市,クリハラシ,KURIHARA SHI
02188,04,東松島市,ヒガシマツシマシ,HIGASHIMATSUSHIMA SHI
02189,04,大崎市,オオサキシ,OSAKI SHI
02190,04,富谷市,トミヤシ,TOMIYA SHI
02241,04,刈田郡蔵王町,カッタグンザオウマチ,KATTA GUN ZAO MACHI
02242,04,刈田郡七ヶ宿町,カッタグンシチカシュクマチ,KATTA GUN SHICHIKASHUKU MACHI
02257,04,柴田郡大河原町,シバタグンオオガワラマチ,SHIBATA GUN OGAWARA MACHI
02258,04,柴田郡村田町,シバタグンムラタマチ,SHIBATA GUN MURATA MACHI
02259,04,柴田郡柴田町,シバタグンシバタマチ,SHIBATA GUN SHIBATA MACHI
02260,04,柴田郡川崎町,シバタグンカワサキマチ,SHIBATA GUN KAWASAKI MACHI
02273,04,伊具郡丸森町,イググンマルモリマチ,IGU GUN MARUMORI MACHI
02289,04,亘理郡亘理町,ワタリグンワタリチョウ,WATARI GUN WATARI CHO
02290,04,亘理郡山元町,ワタリグンヤマモトチョウ,WATARI GUN YAMAMOTO CHO
02305,04,宮城郡松島町,ミヤギグンマツシママチ,MIYAGI GUN MATSUSHIMA MACHI
02308,04,宮城郡七ヶ浜町,ミヤギグンシチガハママチ,MIYAGI GUN SHICHIGAHAMA MACHI
02310,04,宮城郡利府町,ミヤギグンリフチョウ,MIYAGI GUN RIFU CHO
02321,04,黒川郡大和町,クロカワグンタイワチョウ,KUROKAWA GUN TAIWA CHO
02322,04,黒川郡大郷町,クロカワグンオオサトチョウ,KUROKAWA GUN OSATO CHO
02324,04,黒川郡大衡村,クロカワグンオオヒラムラ,KUROKAWA GUN OHIRA MURA
02340,04,加美郡色麻町,カミグンシカマチョウ,KAMI GUN SHIKAMA CHO
02341,04,加美郡加美町,カミグンカミマチ,KAMI GUN KAMI MACHI
02369,04,遠田郡涌谷町,トオダグンワクヤチョウ,TODA GUN WAKUYA CHO
02373,04,遠田郡美里町,トオダグンミサトマチ,TODA GUN MISATO MACHI
04581,04,牡鹿郡女川町,オシカグンオナガワチョウ,OSHIKA GUN ONAGAWA CHO
02438,04,本吉郡南三陸町,モトヨシグンミナミサンリクチョウ,MOTOYOSHI GUN MINAMISANRIKU CHO
