name,name_kana,name_romaji,nickname,latitude,longitude
赤池池田町,アカイケイケダチョウ,AKAIKE IKEDACHO,,35.275078,136.81032
赤池居道町,アカイケイミチチョウ,AKAIKE IMICHICHO,,35.273751,136.81313
赤池裏田町,アカイケウラダチョウ,AKAIKE URADACHO,,35.275,136.817799
赤池北池田町,アカイケキタイケダチョウ,AKAIKE KITAIKEDACHO,,35.269565,136.819549
赤池北町,アカイケキタマチ,AKAIKE KITAMACHI,,35.270997,136.82209
赤池坂畑町,アカイケサカハタチョウ,AKAIKE SAKAHATACHO,,35.267466,136.827625
赤池陣出町,アカイケジンデチョウ,AKAIKE JINDECHO,,35.275725,136.820897
赤池町,アカイケチョウ,AKAIKECHO,,35.273963,136.817495
赤池寺東町,アカイケテラヒガシチョウ,AKAIKE TERAHIGASHICHO,,35.273145,136.823799
赤池天王町,アカイケテンノウチョウ,AKAIKE TENNOCHO,,35.272713,136.822117
赤池中町,アカイケナカマチ,AKAIKE NAKAMACHI,,35.269848,136.822713
赤池西出町,アカイケニシデチョウ,AKAIKE NISHIDECHO,,35.274452,136.814581
赤池旗屋町,アカイケハタヤチョウ,AKAIKE HATAYACHO,,35.272199,136.816495
赤池東山町,アカイケヒガシヤマチョウ,AKAIKE HIGASHIYAMACHO,,35.270678,136.827176
赤池広畑町,アカイケヒロハタチョウ,AKAIKE HIROHATACHO,,35.266613,136.824941
赤池前山町,アカイケマエヤマチョウ,AKAIKE MAEYAMACHO,,35.272588,136.818718
赤池真崎町,アカイケマツサキチョウ,AKAIKE MATSUSAKICHO,,35.275724,136.823597
赤池南町,アカイケミナミマチ,AKAIKE MINAMIMACHI,,35.268772,136.824078
赤池宮西町,アカイケミヤニシチョウ,AKAIKE MIYANISHICHO,,35.270378,136.819932
赤池山中町,アカイケヤマナカチョウ,AKAIKE YAMANAKACHO,,35.273873,136.820745
浅井町,アサイチョウ,ASAICHO,,35.253715,136.765937
朝府町,アザブチョウ,AZABUCHO,,35.251085,136.776154
天池金山町,アマイケカナヤマチョウ,AMAIKE KANAYAMACHO,,35.259072,136.775126
天池光田町,アマイケコウダチョウ,AMAIKE KODACHO,,35.254144,136.775179
天池五反田町,アマイケゴタンダチョウ,AMAIKE GOTANDACHO,,35.252363,136.771318
天池町,アマイケチョウ,AMAIKECHO,,35.255012,136.776532
天池伝代町,アマイケデンダイチョウ,AMAIKE DENDAICHO,,35.260083,136.768585
天池遠松町,アマイケトオマツチョウ,AMAIKE TOMATSUCHO,,35.256155,136.778009
天池浪寄町,アマイケナミヨセチョウ,AMAIKE NAMIYOSECHO,,35.254818,136.771243
天池西町,アマイケニシマチ,AMAIKE NISHIMACHI,,35.25691,136.768918
天池東町,アマイケヒガシマチ,AMAIKE HIGASHIMACHI,,35.258168,136.771674
天池牧作町,アマイケマキツクリチョウ,AMAIKE MAKITSUKURICHO,,35.256534,136.775124
池部町,イケベチョウ,IKEBECHO,,35.246045,136.788749
池部町一丁目,イケベチョウ 1,IKEBECHO 1,,35.245301,136.786985
池部町二丁目,イケベチョウ 2,IKEBECHO 2,,35.2431,136.787399
池部町三丁目,イケベチョウ 3,IKEBECHO 3,,35.241077,136.788062
一色青海町,イシキアオカイチョウ,ISHIKI AOKAICHO,,35.237356,136.75421
一色跡之口町,イシキアトノクチチョウ,ISHIKI ATONOKUCHICHO,,35.235633,136.751931
一色市場町,イシキイチバチョウ,ISHIKI ICHIBACHO,,35.243349,136.749693
一色上方町,イシキカミガタチョウ,ISHIKI KAMIGATACHO,,35.246557,136.748059
一色三反田町,イシキサンタンダチョウ,ISHIKI SANTANDACHO,,35.241116,136.754989
一色巡見町,イシキジュンケンチョウ,ISHIKI JUNKENCHO,,35.245303,136.743982
一色神宮町,イシキジングウチョウ,ISHIKI JINGUCHO,,35.245076,136.754551
一色竹橋町,イシキタケハシチョウ,ISHIKI TAKEHASHICHO,,35.247201,136.752868
一色長畑町,イシキナガハタチョウ,ISHIKI NAGAHATACHO,,35.239296,136.754402
一色中屋敷町,イシキナカヤシキチョウ,ISHIKI NAKAYASHIKICHO,,35.243978,136.746778
