code,prefecture_code,name,name_kana,name_romaji
03713,07,福島市,フクシマシ,FUKUSHIMA SHI
03714,07,会津若松市,アイヅワカマツシ,AIZUWAKAMATSU SHI
03715,07,郡山市,コオリヤマシ,KORIYAMA SHI
03716,07,いわき市,イワキシ,IWAKI SHI
03717,07,白河市,シラカワシ,SHIRAKAWA SHI
03719,07,須賀川市,スカガワシ,SUKAGAWA SHI
07208,07,喜多方市,キタカタシ,KITAKATA SHI
07209,07,相馬市,ソウマシ,SOMA SHI
03720,07,二本松市,ニホンマツシ,NIHOMMATSU SHI
03721,07,田村市,タムラシ,TAMURA SHI
03722,07,南相馬市,ミナミソウマシ,MINAMISOMA SHI
03723,07,伊達市,ダテシ,DATE SHI
03724,07,本宮市,モトミヤシ,MOTOMIYA SHI
03777,07,伊達郡桑折町,ダテグンコオリマチ,DATE GUN KORI MACHI
03779,07,伊達郡国見町,ダテグンクニミマチ,DATE GUN KUNIMI MACHI
07308,07,伊達郡川俣町,ダテグンカワマタマチ,DATE GUN KAWAMATA MACHI
03794,07,安達郡大玉村,アダチグンオオタマムラ,ADACHI GUN OTAMA MURA
03810,07,岩瀬郡鏡石町,イワセグンカガミイシマチ,IWASE GUN KAGAMIISHI MACHI
03812,07,岩瀬郡天栄村,イワセグンテンエイムラ,IWASE GUN TENEI MURA
03826,07,南会津郡下郷町,ミナミアイヅグンシモゴウマチ,MINAMIAIZU GUN SHIMOGO MACHI
03828,07,南会津郡檜枝岐村,ミナミアイヅグンヒノエマタムラ,MINAMIAIZU GUN HINOEMATA MURA
03831,07,南会津郡只見町,ミナミアイヅグンタダミマチ,MINAMIAIZU GUN TADAMI MACHI
07368,07,南会津郡南会津町,ミナミアイヅグンミナミアイヅマチ,MINAMIAIZU GUN MINAMIAIZU MACHI
03842,07,耶麻郡北塩原村,ヤマグンキタシオバラムラ,YAMA GUN KITASHIOBARA MURA
03845,07,耶麻郡西会津町,ヤマグンニシアイヅマチ,YAMA GUN NISHIAIZU MACHI
03847,07,耶麻郡磐梯町,ヤマグンバンダイマチ,YAMA GUN BANDAI MACHI
07408,07,耶麻郡猪苗代町,ヤマグンイナワシロマチ,YAMA GUN INAWASHIRO MACHI
03857,07,河沼郡会津坂下町,カワヌマグンアイヅバンゲマチ,KAWANUMA GUN AIZUBANGE MACHI
03858,07,河沼郡湯川村,カワヌマグンユガワムラ,KAWANUMA GUN YUGAWA MURA
03859,07,河沼郡柳津町,カワヌマグンヤナイヅマチ,KAWANUMA GUN YANAIZU MACHI
03876,07,大沼郡三島町,オオヌマグンミシママチ,ONUMA GUN MISHIMA MACHI
03877,07,大沼郡金山町,オオヌマグンカネヤママチ,ONUMA GUN KANEYAMA MACHI
03878,07,大沼郡昭和村,オオヌマグンショウワムラ,ONUMA GUN SHOWA MURA
03879,07,大沼郡会津美里町,オオヌマグンアイヅミサトマチ,ONUMA GUN AIZUMISATO MACHI
03889,07,西白河郡西郷村,ニシシラカワグンニシゴウムラ,NISHISHIRAKAWA GUN NISHIGO MURA
03892,07,西白河郡泉崎村,ニシシラカワグンイズミザキムラ,NISHISHIRAKAWA GUN IZUMIZAKI MURA
03893,07,西白河郡中島村,ニシシラカワグンナカジマムラ,NISHISHIRAKAWA GUN NAKAJIMA MURA
03894,07,西白河郡矢吹町,ニシシラカワグンヤブキマチ,NISHISHIRAKAWA GUN YABUKI MACHI
07481,07,東白川郡棚倉町,ヒガシシラカワグンタナグラマチ,HIGASHISHIRAKAWA GUN TANAGURA MACHI
07482,07,東白川郡矢祭町,ヒガシシラカワグンヤマツリマチ,HIGASHISHIRAKAWA GUN YAMATSURI MACH
07483,07,東白川郡塙町,ヒガシシラカワグンハナワマチ,HIGASHISHIRAKAWA GUN HANAWA MACHI
07484,07,東白川郡鮫川村,ヒガシシラカワグンサメガワムラ,HIGASHISHIRAKAWA GUN SAMEGAWA MURA
03905,07,石川郡石川町,イシカワグンイシカワマチ,ISHIKAWA GUN ISHIKAWA MACHI
03906,07,石川郡玉川村,イシカワグンタマカワムラ,ISHIKAWA GUN TAMAKAWA MURA
03907,07,石川郡平田村,イシカワグンヒラタムラ,ISHIKAWA GUN HIRATA MURA
03908,07,石川郡浅川町,イシカワグンアサカワマチ,ISHIKAWA GUN ASAKAWA MACHI
03909,07,石川郡古殿町,イシカワグンフルドノマチ,ISHIKAWA GUN FURUDONO MACHI
03921,07,田村郡三春町,タムラグンミハルマチ,TAMURA GUN MIHARU MACHI
03922,07,田村郡小野町,タムラグンオノマチ,TAMURA GUN ONO MACHI
03937,07,双葉郡広野町,フタバグンヒロノマチ,FUTABA GUN HIRONO MACHI
03938,07,双葉郡楢葉町,フタバグンナラハマチ,FUTABA GUN NARAHA MACHI
03939,07,双葉郡富岡町,フタバグントミオカマチ,FUTABA GUN TOMIOKA MACHI
03940,07,双葉郡川内村,フタバグンカワウチムラ,FUTABA GUN KAWAUCHI MURA
03941,07,双葉郡大熊町,フタバグンオオクママチ,FUTABA GUN OKUMA MACHI
03942,07,双葉郡双葉町,フタバグンフタバマチ,FUTABA GUN FUTABA MACHI
03943,07,双葉郡浪江町,フタバグンナミエマチ,FUTABA GUN NAMIE MACHI
07548,07,双葉郡葛尾村,フタバグンカツラオムラ,FUTABA GUN KATSURAO MURA
03953,07,相馬郡新地町,ソウマグンシンチマチ,SOMA GUN SHINCHI MACHI
03956,07,相馬郡飯舘村,ソウマグンイイタテムラ,SOMA GUN IITATE MURA
