name,name_kana,name_romaji,nickname,latitude,longitude
字仲西,,,,26.251113,127.695914
字仲間,,,,26.243754,127.729287
字前田,,,,26.239714,127.730903
字城間,,,,26.26212,127.706165
字大平,,,,26.243551,127.712779
字宮城,,,,26.253529,127.698943
字小湾,,,,26.248901,127.692552
字屋富祖,,,,26.256405,127.700167
字沢岻,,,,26.23905,127.714197
字港川,,,,26.269027,127.711922
字牧港,,,,26.267441,127.715947
字経塚,,,,26.237598,127.722674
安波茶一丁目,アハチャ 1,AHACHA 1,,26.24636,127.718873
安波茶二丁目,アハチャ 2,AHACHA 2,,26.247564,127.723073
安波茶三丁目,アハチャ 3,AHACHA 3,,26.244151,127.721722
伊祖一丁目,イソ 1,ISO 1,,26.251832,127.717848
伊祖二丁目,イソ 2,ISO 2,,26.253716,127.716324
伊祖三丁目,イソ 3,ISO 3,,26.257468,127.720941
伊祖四丁目,イソ 4,ISO 4,,26.254867,127.7225
伊祖五丁目,イソ 5,ISO 5,,26.257425,127.7262
伊奈武瀬一丁目,イナンセ 1,INANSE 1,,26.248315,127.671968
西洲一丁目,イリジマ 1,IRIJIMA 1,,26.246219,127.686432
西洲二丁目,イリジマ 2,IRIJIMA 2,,26.25241,127.687366
西洲三丁目,イリジマ 3,IRIJIMA 3,,26.260212,127.695944
内間一丁目,ウチマ 1,UCHIMA 1,,26.239623,127.707329
内間二丁目,ウチマ 2,UCHIMA 2,,26.235822,127.705764
内間三丁目,ウチマ 3,UCHIMA 3,,26.237442,127.700826
内間四丁目,ウチマ 4,UCHIMA 4,,26.240135,127.703665
内間五丁目,ウチマ 5,UCHIMA 5,,26.239902,127.699131
大平一丁目,オオヒラ 1,OHIRA 1,,26.248639,127.713305
大平二丁目,オオヒラ 2,OHIRA 2,,26.243693,127.7099
大平三丁目,オオヒラ 3,OHIRA 3,,26.244912,127.71506
経塚一丁目,キョウヅカ 1,KYOZUKA 1,,26.241877,127.723106
城間一丁目,グスクマ 1,GUSUKUMA 1,,26.255545,127.708864
城間二丁目,グスクマ 2,GUSUKUMA 2,,26.25337,127.712384
城間三丁目,グスクマ 3,GUSUKUMA 3,,26.257097,127.711764
城間四丁目,グスクマ 4,GUSUKUMA 4,,26.258972,127.714397
勢理客一丁目,ジッチャク 1,JITCHAKU 1,,26.241592,127.697881
勢理客二丁目,ジッチャク 2,JITCHAKU 2,,26.243276,127.695499
勢理客三丁目,ジッチャク 3,JITCHAKU 3,,26.241259,127.692398
勢理客四丁目,ジッチャク 4,JITCHAKU 4,,26.244344,127.689794
沢岻一丁目,タクシ 1,TAKUSHI 1,,26.236192,127.712397
沢岻二丁目,タクシ 2,TAKUSHI 2,,26.235556,127.708609
当山一丁目,トウヤマ 1,TOYAMA 1,,26.252494,127.729871
当山二丁目,トウヤマ 2,TOYAMA 2,,26.251305,127.735033
当山三丁目,トウヤマ 3,TOYAMA 3,,26.247699,127.735272
仲西一丁目,ナカニシ 1,NAKANISHI 1,,26.24779,127.699034
仲西二丁目,ナカニシ 2,NAKANISHI 2,,26.246514,127.699985
仲西三丁目,ナカニシ 3,NAKANISHI 3,,26.2446,127.699059
仲間一丁目,ナカマ 1,NAKAMA 1,,26.250949,127.722562
仲間二丁目,ナカマ 2,NAKAMA 2,,26.249871,127.728313
仲間三丁目,ナカマ 3,NAKAMA 3,,26.244136,127.727651
西原一丁目,ニシハラ 1,NISHIHARA 1,,26.253107,127.741797
西原二丁目,ニシハラ 2,NISHIHARA 2,,26.254173,127.744567
西原三丁目,ニシハラ 3,NISHIHARA 3,,26.254216,127.746972
西原四丁目,ニシハラ 4,NISHIHARA 4,,26.249041,127.747439
西原五丁目,ニシハラ 5,NISHIHARA 5,,26.248242,127.743246
西原六丁目,ニシハラ 6,NISHIHARA 6,,26.246194,127.746522
前田一丁目,マエダ 1,MAEDA 1,,26.24116,127.736435
前田二丁目,マエダ 2,MAEDA 2,,26.242975,127.738447
前田三丁目,マエダ 3,MAEDA 3,,26.243834,127.740996
前田四丁目,マエダ 4,MAEDA 4,,26.236685,127.735398
牧港一丁目,マキミナト 1,MAKIMINATO 1,,26.263792,127.721392
牧港二丁目,マキミナト 2,MAKIMINATO 2,,26.262282,127.725418
牧港三丁目,マキミナト 3,MAKIMINATO 3,,26.258285,127.729917
牧港四丁目,マキミナト 4,MAKIMINATO 4,,26.264264,127.728573
牧港五丁目,マキミナト 5,MAKIMINATO 5,,26.270612,127.717664
港川一丁目,ミナトガワ 1,MINATOGAWA 1,,26.260924,127.719297
港川二丁目,ミナトガワ 2,MINATOGAWA 2,,26.264191,127.716188
宮城一丁目,ミヤギ 1,MIYAGI 1,,26.250652,127.704346
宮城二丁目,ミヤギ 2,MIYAGI 2,,26.248294,127.705886
宮城三丁目,ミヤギ 3,MIYAGI 3,,26.246453,127.70447
宮城四丁目,ミヤギ 4,MIYAGI 4,,26.244664,127.704187
宮城五丁目,ミヤギ 5,MIYAGI 5,,26.243215,127.703282
宮城六丁目,ミヤギ 6,MIYAGI 6,,26.24385,127.70785
屋富祖一丁目,ヤフソ 1,YAFUSO 1,,26.250859,127.71264
屋富祖二丁目,ヤフソ 2,YAFUSO 2,,26.250636,127.709029
屋富祖三丁目,ヤフソ 3,YAFUSO 3,,26.252596,127.70657
屋富祖四丁目,ヤフソ 4,YAFUSO 4,,26.254045,127.707631
